PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
2         13.25     60.49005       -25.79480      -1.99797       0.09004        -0.98693       0.16115        -1.41074       0.00000        0.00000        
1         13.50     -72.35519      45.02462       1.87007        0.70911        0.79160        0.61104        0.91735        0.00000        0.00000        
2         13.50     59.99056       -25.77229      -1.99664       0.11592        -0.98666       0.16277        -1.40894       0.00000        0.00000        
1         13.75     -71.88768      45.20190       1.84609        0.76939        0.78939        0.61389        0.91342        0.00000        0.00000        
2         13.75     59.49140       -25.74331      -1.99514       0.13929        -0.98642       0.16425        -1.40730       0.00000        0.00000        
1         14.00     -71.42616      45.39425       1.82273        0.82319        0.78737        0.61648        0.90982        0.00000        0.00000        
2         14.00     58.99261       -25.70849      -1.99356       0.16038        -0.98619       0.16561        -1.40580       0.00000        0.00000        
1         14.25     -70.97047      45.60004       1.80028        0.87119        0.78550        0.61886        0.90653        0.00000        0.00000        
2         14.25     58.49422       -25.66840      -1.99193       0.17943        -0.98598       0.16686        -1.40442       0.00000        0.00000        
1         14.50     -70.52040      45.81784       1.99666        1.02591        0.78379        0.62102        0.90351        0.00000        0.00000        
2         14.50     57.99624       -25.62354      -1.99031       0.19663        -0.98579       0.16801        -1.40315       0.00000        0.00000        
1         14.75     -70.02123      46.07432       1.76077        0.94853        0.78203        0.62324        0.90075        0.00000        0.00000        
2         14.75     57.49866       -25.57438      -1.98871       0.21217        -0.98561       0.16906        -1.40199       0.00000        0.00000        
1         15.00     -69.58104      46.31145       1.95627        1.10434        0.78056        0.62508        0.89791        0.00000        0.00000        
2         15.00     57.00148       -25.52134      -1.98717       0.22621        -0.98544       0.17002        -1.40092       0.00000        0.00000        
1         15.25     -69.09197      46.58754       1.72559        1.01110        0.77905        0.62696        0.89557        0.00000        0.00000        
2         15.25     56.50469       -25.46478      -1.98568       0.23890        -0.98529       0.17091        -1.39994       0.00000        0.00000        
1         15.50     -68.66058      46.84032       1.92036        1.16784        0.77780        0.62851        0.89315        0.00000        0.00000        
2         15.50     56.00827       -25.40506      -1.98427       0.25037        -0.98515       0.17172        -1.39905       0.00000        0.00000        
1         15.75     -68.18049      47.13228       1.69484        1.06185        0.77650        0.63011        0.89116        0.00000        0.00000        
2         15.75     55.51220       -25.34247      -1.98293       0.26074        -0.98501       0.17247        -1.39822       0.00000        0.00000        
1         16.00     -67.75678      47.39774       1.88896        1.21938        0.77543        0.63143        0.88910        0.00000        0.00000        
2         16.00     55.01647       -25.27728      -1.98168       0.27012        -0.98489       0.17316        -1.39746       0.00000        0.00000        
1         16.25     -67.28454      47.70258       1.66827        1.10312        0.77432        0.63279        0.88740        0.00000        0.00000        
2         16.25     54.52105       -25.20975      -1.98050       0.27860        -0.98478       0.17379        -1.39676       0.00000        0.00000        
1         16.50     -66.86747      47.97836       1.86185        1.26132        0.77340        0.63391        0.88564        0.00000        0.00000        
2         16.50     54.02593       -25.14010      -1.97940       0.28629        -0.98468       0.17437        -1.39612       0.00000        0.00000        
1         16.75     -66.40201      48.29369       1.64552        1.13678        0.77245        0.63507        0.88419        0.00000        0.00000        
2         16.75     53.53108       -25.06853      -1.97839       0.29324        -0.98458       0.17491        -1.39553       0.00000        0.00000        
1         17.00     -65.99063      48.57789       1.83863        1.29554        0.77167        0.63603        0.88270        0.00000        0.00000        
2         17.00     53.03648       -24.99522      -1.97744       0.29954        -0.98450       0.17541        -1.39498       0.00000        0.00000        
1         17.25     -65.53098      48.90178       1.62616        1.16430        0.77085        0.63701        0.88146        0.00000        0.00000        
2         17.25     52.54212       -24.92034      -1.97657       0.30525        -0.98441       0.17586        -1.39448       0.00000        0.00000        
1         17.50     -65.12444      49.19285       1.81888        1.32355        0.77018        0.63783        0.88018        0.00000        0.00000        
2         17.50     52.04798       -24.84403      -1.97576       0.31042        -0.98434       0.17629        -1.39401       0.00000        0.00000        
1         17.75     -64.66972      49.52374       1.60976        1.18687        0.76948        0.63868        0.87912        0.00000        0.00000        
2         17.75     51.55404       -24.76642      -1.97502       0.31511        -0.98427       0.17668        -1.39358       0.00000        0.00000        
1         18.00     -64.26727      49.82046       1.80213        1.34654        0.76889        0.63938        0.87802        0.00000        0.00000        
2         18.00     51.06028       -24.68764      -1.97434       0.31936        -0.98420       0.17704        -1.39319       0.00000        0.00000        
1         18.25     -63.81674      50.15709       1.99435        1.50639        0.76829        0.64010        0.87711        0.00000        0.00000        
2         18.25     50.56670       -24.60780      -1.97371       0.32323        -0.98414       0.17737        -1.39282       0.00000        0.00000        
1         18.50     -63.31815      50.53369       1.59067        1.21234        0.76766        0.64085        0.87617        0.00000        0.00000        
2         18.50     50.07327       -24.52700      -1.97313       0.32673        -0.98409       0.17768        -1.39248       0.00000        0.00000        
1         18.75     -62.92049      50.83677       1.78258        1.37256        0.76719        0.64142        0.87519        0.00000        0.00000        
2         18.75     49.57999       -24.44531      -1.97260       0.32992        -0.98404       0.17796        -1.39217       0.00000        0.00000        
1         19.00     -62.47484      51.17991       1.97438        1.53291        0.76669        0.64202        0.87444        0.00000        0.00000        
2         19.00     49.08684       -24.36283      -1.97212       0.33281        -0.98399       0.17823        -1.39188       0.00000        0.00000        
1         19.25     -61.98125      51.56314       1.57563        1.23183        0.76617        0.64263        0.87367        0.00000        0.00000        
2         19.25     48.59381       -24.27963      -1.97167       0.33544        -0.98394       0.17848        -1.39161       0.00000        0.00000        
1         19.50     -61.58734      51.87110       1.76717        1.39248        0.76578        0.64310        0.87287        0.00000        0.00000        
2         19.50     48.10089       -24.19577      -1.97126       0.33783        -0.98390       0.17870        -1.39136       0.00000        0.00000        
1         19.75     -61.14555      52.21922       1.95862        1.55326        0.76537        0.64359        0.87226        0.00000        0.00000        
2         19.75     47.60808       -24.11131      -1.97089       0.34001        -0.98386       0.17892        -1.39113       0.00000        0.00000        
1         20.00     -60.65590      52.60753       1.56380        1.24681        0.76495        0.64409        0.87162        0.00000        0.00000        
2         20.00     47.11536       -24.02631      -1.97054       0.34199        -0.98383       0.17912        -1.39091       0.00000        0.00000        
1         20.25     -60.26495      52.91924       1.75504        1.40783        0.76462        0.64448        0.87096        0.00000        0.00000        
2         20.25     46.62272       -23.94081      -1.97023       0.34380        -0.98379       0.17930        -1.39071       0.00000        0.00000        
1         20.50     -59.82619      53.27119       1.94619        1.56895        0.76428        0.64488        0.87045        0.00000        0.00000        
2         20.50     46.13016       -23.85487      -1.96994       0.34544        -0.98376       0.17947        -1.39052       0.00000        0.00000        
1         20.75     -59.33964      53.66343       1.55449        1.25840        0.76393        0.64530        0.86993        0.00000        0.00000        
2         20.75     45.63768       -23.76851      -1.96968       0.34694        -0.98373       0.17963        -1.39035       0.00000        0.00000        
1         21.00     -58.95102      53.97803       1.74547        1.41973        0.76365        0.64562        0.86938        0.00000        0.00000        
2         21.00     45.14526       -23.68177      -1.96944       0.34831        -0.98371       0.17978        -1.39018       0.00000        0.00000        
1         21.25     -58.51465      54.33297       1.93638        1.58113        0.76337        0.64596        0.86895        0.00000        0.00000        
2         21.25     44.65290       -23.59469      -1.96921       0.34956        -0.98368       0.17992        -1.39003       0.00000        0.00000        
1         21.50     -58.03055      54.72825       1.54714        1.26742        0.76307        0.64632        0.86851        0.00000        0.00000        
2         21.50     44.16059       -23.50730      -1.96901       0.35071        -0.98366       0.18006        -1.38989       0.00000        0.00000        
1         21.75     -57.64377      55.04510       1.73791        1.42900        0.76284        0.64659        0.86805        0.00000        0.00000        
2         21.75     43.66834       -23.41962      -1.96882       0.35175        -0.98363       0.18018        -1.38975       0.00000        0.00000        
1         22.00     -57.20929      55.40236       1.92862        1.59064        0.76260        0.64687        0.86770        0.00000        0.00000        
2         22.00     43.17614       -23.33169      -1.96865       0.35271        -0.98361       0.18030        -1.38963       0.00000        0.00000        
1         22.25     -56.72713      55.80001       1.54133        1.27448        0.76235        0.64717        0.86732        0.00000        0.00000        
2         22.25     42.68397       -23.24351      -1.96850       0.35359        -0.98359       0.18041        -1.38951       0.00000        0.00000        
1         22.50     -56.34180      56.11863       1.73192        1.43627        0.76215        0.64740        0.86693        0.00000        0.00000        
2         22.50     42.19185       -23.15511      -1.96835       0.35439        -0.98357       0.18051        -1.38940       0.00000        0.00000        
1         22.75     -55.90882      56.47770       1.92245        1.59812        0.76194        0.64764        0.86663        0.00000        0.00000        
2         22.75     41.69976       -23.06652      -1.96822       0.35513        -0.98356       0.18061        -1.38929       0.00000        0.00000        
1         23.00     -55.42821      56.87724       1.53671        1.28005        0.76173        0.64790        0.86631        0.00000        0.00000        
2         23.00     41.20771       -22.97774      -1.96810       0.35580        -0.98354       0.18070        -1.38919       0.00000        0.00000        
1         23.25     -55.04403      57.19725       1.72714        1.44202        0.76156        0.64810        0.86597        0.00000        0.00000        
2         23.25     40.71568       -22.88878      -1.96798       0.35642        -0.98352       0.18079        -1.38910       0.00000        0.00000        
1         23.50     -54.61224      57.55775       1.91753        1.60405        0.76138        0.64831        0.86571        0.00000        0.00000        
2         23.50     40.22369       -22.79968      -1.96788       0.35700        -0.98351       0.18087        -1.38901       0.00000        0.00000        
1         23.75     -54.13286      57.95876       1.53302        1.28447        0.76119        0.64853        0.86544        0.00000        0.00000        
2         23.75     39.73172       -22.71043      -1.96778       0.35752        -0.98349       0.18095        -1.38893       0.00000        0.00000        
1         24.00     -53.74961      58.27988       1.72331        1.44660        0.76104        0.64871        0.86514        0.00000        0.00000        
2         24.00     39.23977       -22.62105      -1.96770       0.35801        -0.98348       0.18102        -1.38885       0.00000        0.00000        
1         24.25     -53.31878      58.64153       1.91357        1.60878        0.76088        0.64889        0.86491        0.00000        0.00000        
2         24.25     38.74784       -22.53155      -1.96761       0.35846        -0.98347       0.18110        -1.38877       0.00000        0.00000        
1         24.50     -52.84039      59.04372       1.53004        1.28801        0.76071        0.64909        0.86467        0.00000        0.00000        
2         24.50     38.25594       -22.44193      -1.96754       0.35887        -0.98345       0.18117        -1.38869       0.00000        0.00000        
1         24.75     -52.45787      59.36573       1.72022        1.45028        0.76058        0.64924        0.86441        0.00000        0.00000        
2         24.75     37.76405       -22.35221      -1.96747       0.35926        -0.98344       0.18123        -1.38862       0.00000        0.00000        
1         25.00     -52.02782      59.72830       1.91037        1.61259        0.76044        0.64941        0.86421        0.00000        0.00000        
2         25.00     37.27219       -22.26240      -1.96740       0.35961        -0.98343       0.18130        -1.38856       0.00000        0.00000        
1         25.25     -51.55023      60.13145       1.52763        1.29088        0.76028        0.64959        0.86399        0.00000        0.00000        
2         25.25     36.78033       -22.17250      -1.96734       0.35995        -0.98342       0.18136        -1.38849       0.00000        0.00000        
1         25.50     -51.16832      60.45417       1.71770        1.45327        0.76016        0.64973        0.86375        0.00000        0.00000        
2         25.50     36.28850       -22.08251      -1.96729       0.36025        -0.98341       0.18142        -1.38843       0.00000        0.00000        
1         25.75     -50.73890      60.81749       1.90774        1.61571        0.76003        0.64988        0.86357        0.00000        0.00000        
2         25.75     35.79668       -21.99245      -1.96723       0.36054        -0.98339       0.18148        -1.38837       0.00000        0.00000        
1         26.00     -50.26196      61.22141       1.52564        1.29322        0.75989        0.65005        0.86337        0.00000        0.00000        
2         26.00     35.30487       -21.90231      -1.96718       0.36081        -0.98338       0.18154        -1.38831       0.00000        0.00000        
1         26.25     -49.88055      61.54472       1.71561        1.45574        0.75978        0.65018        0.86315        0.00000        0.00000        
2         26.25     34.81307       -21.81211      -1.96714       0.36106        -0.98337       0.18159        -1.38825       0.00000        0.00000        
1         26.50     -49.45165      61.90865       1.90556        1.61828        0.75966        0.65032        0.86297        0.00000        0.00000        
2         26.50     34.32129       -21.72184      -1.96710       0.36130        -0.98336       0.18165        -1.38819       0.00000        0.00000        
1         26.75     -48.97526      62.31322       1.52398        1.29518        0.75952        0.65048        0.86278        0.00000        0.00000        
